index,Proportion,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,has_zebra
8317,55.172413793100006,-0.08901972425010117,1.7589796877219144,0.5281582524574624,768,114941.21271908234,189506.95248037734,131199.58788299095,-1.4053523428986558,36.87580678612909,1,0.4673079368782309,8.822815993491943,1024,20,17,0
8318,31.03448275860001,-0.09346853673787092,1.7824236280192414,0.525810958609519,768,138209.21523123313,200336.7938817032,191213.17896700185,-1.4055742113118213,36.87615702160494,1,0.4656987712728024,9.456554828643883,1024,20,17,0
8320,35.0,-0.056440033976634364,2.1628436028737545,0.4115792438852285,768,95631.4664314698,223406.73629145566,285553.68350043515,-1.4059499670293438,36.876685971685966,1,0.3629119186286109,4.608647557766292,1024,20,17,0
8321,20.5128205128,-0.06140940572340206,2.061526478054045,0.4253570940106999,768,91512.21101215582,224101.5699748665,277514.3552431117,-1.405946435866013,36.87668727148789,1,0.3753579518709183,4.929171674558498,1024,20,17,0
8322,81.3559322034,-0.014794680542357804,2.0896959735737832,0.4694299570928776,768,85234.65386801309,151750.19035902392,55888.506802979326,-1.4059409996881291,36.87668544061303,1,0.409135663161484,7.161915606072888,1024,20,17,0
8323,60.0,-0.025380535908472533,2.2283548543053207,0.42575058596283816,1024,109887.40767207537,294738.8832271711,156456.36205309414,-1.4059408200053694,36.87668514746926,1,0.3722214144019717,8.159705770149763,768,20,17,0
8324,100.0,-0.041223552364256434,2.2060201040626533,0.4433020224706538,768,80213.48793376336,173166.7479696954,91904.28327704137,-1.4059402564672745,36.87668409647635,1,0.3889946283178556,9.50178611712629,1024,20,17,0
8325,87.5,-0.06348665045977989,2.1360695749251226,0.4369879082933463,768,70957.56921334515,195213.72688517574,65021.216880851025,-1.4059401903035795,36.87668389525021,1,0.3856600393438324,10.622743542303702,1024,20,17,0
8326,71.7948717949,-0.010587571458873513,2.2218459695010613,0.4530978162014551,768,83289.93796071647,154058.15415355333,34006.038708833265,-1.4059401535682023,36.876683783492375,1,0.3945447781025526,7.1757415317161275,1024,20,17,0
8327,67.5,-0.0356152468679416,2.1136220786845716,0.4860100801157469,768,108707.28418785927,173610.45117388526,136408.99523369662,-1.4059401094154909,36.87668364944847,1,0.4255458174782688,8.89817284789981,1024,20,17,0
8328,58.0,-0.03850379589496558,2.1904338672972345,0.4597634835104846,768,98939.525462948,178458.19193749555,90604.64120930377,-1.4059399770546517,36.87668343852963,1,0.4030290979984255,9.522664763194332,1024,20,17,0
8329,80.0,-0.06566604709520442,2.0009087780661057,0.4660227632049976,768,56093.34413427914,194393.55864534195,31326.255963116095,-1.4059368849525853,36.876679969982256,1,0.4110876738864424,9.049510838883313,1024,20,17,0
8330,73.3333333333,-0.052211320498400916,2.2282004899147325,0.4184549877812451,768,64012.79245848702,197580.9454446456,85330.85635337314,-1.4059364930880365,36.87667975623364,1,0.3684753636290178,9.817232042361237,1024,20,17,0
8331,66.6666666667,-0.0276187962356315,2.0955789478701337,0.4322824705432285,1024,150481.1068597059,308462.02579442423,383348.1947927874,-1.4029382700020196,36.87849147003434,1,0.3781105453425335,6.08445091899133,768,20,17,0
8332,62.5,-0.025172782398320936,2.1174830566834384,0.4261710236481285,768,86269.5068897464,152340.83495504415,212061.62504485968,-1.4030046450104592,36.87994463248506,1,0.372566514300572,6.424018427689124,1024,20,17,0
8333,10.0,-0.0423621348527574,2.4070766987721086,0.3792158425360457,768,65345.74172558352,197844.78067111093,188382.19115404726,-1.4228370967741937,36.936804269678156,1,0.3334446860572569,7.704489904651386,1024,20,18,0
8334,53.8461538462,-0.060855068034775875,2.4353499568195,0.37030175381849,768,63168.8047720814,228445.54294010642,237650.8237323545,-1.4230512799957244,36.93694624003447,1,0.3274879995279897,7.415504197181549,1024,20,18,0
8335,43.5897435897,-0.07091513291667548,2.0752431869254933,0.4044282336200391,768,62011.54132095089,221922.70939135546,239702.86361660343,-1.4234163335554075,36.93713125098596,1,0.3580986047837115,6.8417415397447625,1024,20,18,0
8336,30.0,-0.055444408605176895,2.195783517499048,0.4009728546698316,768,57803.90504253728,186151.7705443599,221891.8861803348,-1.4248765477413987,36.93787129485179,1,0.35360398202995363,7.346648831574929,1024,20,18,0
8337,51.6666666667,-0.060192133243964614,2.4034991738097067,0.3764826788868789,768,51051.17890248309,227866.05136614802,145623.7881048285,-1.4090278746995424,36.899719886646736,1,0.33279223000923897,6.646112537453343,1024,20,18,0
8338,30.0,-0.06906444299613701,2.2339248234101974,0.39211552119073134,768,52656.30869452713,233272.2100019632,168493.40093309293,-1.4095304387331256,36.89960616673535,1,0.34722614996895457,6.269301905452738,1024,20,18,0
8339,48.275862069,-0.06723443410421721,2.4437237814556068,0.34513228549735864,768,54261.71564894226,187942.37542502227,194138.27563534878,-1.4118231954582319,36.90119337757419,1,0.3062437927500222,8.12228034282874,1024,20,18,0
8340,0.0,-0.06590387221006791,2.3998568866865098,0.34647542227053457,768,60297.00618742747,220810.25848270726,186971.6592927032,-1.4118657908936203,36.901186801818476,1,0.307281873503803,8.025197780333464,1024,20,18,0
8341,17.5,-0.11425102498759965,1.9126116033055287,0.4127690546924522,768,83566.57330735378,248347.97420313297,293035.9158101045,-1.4119680004894757,36.90117101878282,1,0.3695264645389693,6.26198572873667,1024,20,19,0
8342,66.0,-0.11006508004584094,1.9339955723148519,0.432856035879691,768,53193.21883943478,234791.5033420077,246513.70519439012,-1.41196639009139,36.901170588991775,1,0.38656820747774506,6.238028707090434,1024,20,19,0
8343,48.275862069,-0.07451902422352209,1.9328366389816585,0.4108145581239256,768,50536.2812887929,140932.21472041088,124012.5577431576,-1.4037020508925182,36.89051588607364,1,0.36399315494549295,7.3401814216091825,1024,20,19,0
8344,30.0,-0.05151201472683972,1.8386982601974144,0.5056876675722652,768,98778.42168965851,133262.0391094178,46656.4440636732,-1.325406359979889,36.753289436666336,1,0.4441708164493964,8.899138685324951,1024,20,21,0
8345,59.1836734694,-0.06274671305023721,1.6351196576896632,0.5774042960708101,768,135638.83456628487,162114.67778705296,150680.98864377904,-1.3255446872674579,36.7524413142422,1,0.5075424628689433,8.472375770390585,1024,20,21,0
8346,40.0,-0.07048817759234605,1.5239492658301743,0.6499831226993329,768,170200.44148934126,210638.20094845095,256459.1332954759,-1.3257175963644925,36.75138116121222,1,0.5713256989995822,7.8811541421660625,1024,20,21,0
8347,10.3448275862,0.04825815790719583,5.34233643945476,0.21645233218311904,2988,83441.06591913973,123293.21542566727,159456.3377779496,-1.3747096774193548,36.84222254825248,6,0.18333335251238167,8.878245664878582,5312,20,16,0
8348,6.896551724139999,0.061449611249412776,5.771445967344289,0.21040838003639045,2988,84908.93102940088,116324.46021710135,166511.84258651262,-1.3747095529838893,36.84222276528728,6,0.17681055780003413,8.627945755259294,5312,20,16,0
8349,10.0,0.03697552573360486,5.80791840952765,0.1954020615556316,2988,81773.07372879874,130506.45345269328,177049.70157996754,-1.374709469948991,36.84222291000377,6,0.1661401042917945,8.819996708822838,5312,20,16,0
8350,52.0,0.06111164715102545,3.893948981969349,0.2880713811019038,2988,84471.40788686363,89292.5167413261,105784.42180312856,-1.3746808927173062,36.84103250215636,6,0.24429473285310346,8.290231293447894,5312,20,16,0
8351,73.4693877551,-0.1019353586614228,1.5716274222289608,0.5399008727779896,2224,110481.17297254264,162189.7435881813,137268.81269813454,-1.3503829087093098,36.79869533828383,1,0.4787534871718279,10.724060054111467,3344,18,18,0
8352,70.0,-0.0924774362052141,1.6826040796501405,0.5218826592300384,2224,110020.22281936274,162850.5572640143,149246.96633730578,-1.350382898387467,36.798695325456045,1,0.4621912983813472,10.694715999588773,3344,18,18,0
8353,82.5,0.08039324125192576,2.178048691462948,0.5004468067432746,2224,77212.10036250076,83856.05635134531,63387.57897429293,-1.3649592499913117,36.78868355000152,1,0.4268846766579679,5.899566886943163,3344,18,18,0
8359,50.0,-0.029934375232089694,1.6219133897857632,0.5489258352271711,2848,90994.8983664591,105326.06965229454,108422.74177598636,-1.3741747063070158,36.844058132147396,1,0.479640706518339,6.205610708535536,4272,25,11,0
838,30.0,-0.016810181198731372,1.4805628259682226,0.6787636787592518,3456,128373.20782412332,97392.72680441801,159163.01916867774,-1.3478709999999998,36.811911,1,0.5911398984329309,10.028483661665122,5184,1,17,0
8387,10.0,-0.02937100865716585,1.9140337501594693,0.5075950836739936,2848,125951.06279380455,165744.55134453136,118225.10988317535,-1.3379020512820512,36.81306697313863,1,0.4436899052803022,7.735587763867168,4272,25,9,1
8388,70.0,-0.053351404251619,1.7792563247167588,0.5314298665502178,2848,127460.01033940892,159303.23176508382,114493.2609787823,-1.3379181918706626,36.813114199702866,1,0.4667059022305508,7.3229298092282225,4272,25,9,1
