GID,ANNOTATION_ID
2585,[16777]
3144,[8835]
3937,[18095]
832,"[15626, 15627]"
3511,"[12157, 12158]"
595,"[15421, 15422, 15423]"
3617,[18757]
1877,"[14286, 14287]"
499,[9393]
3282,"[12525, 12526]"
1317,"[9696, 9697, 12764, 12765, 12766]"
3798,[]
4270,"[18523, 18524, 18525]"
1714,[]
91,[]
1153,[9260]
4981,[]
4103,[]
1101,[9436]
104,[9322]
3141,"[8892, 8893]"
4698,[]
4785,[]
4561,[]
4403,[18661]
4531,[]
4036,[17975]
694,[14108]
2762,"[17076, 17077, 17078]"
4676,"[17936, 17937, 17938, 17939]"
3671,[]
688,[]
696,"[14159, 14160]"
1358,[]
4937,[12498]
400,[13305]
4540,"[18571, 18572, 18573]"
3270,[12564]
2460,"[14374, 14375]"
923,[9451]
546,"[16167, 16168, 16169, 16170]"
3862,[]
4900,[]
443,[9379]
1083,[]
4407,"[17980, 17981]"
4624,[17930]
1783,"[14923, 14924]"
4947,[12475]
4737,[]
3275,"[12522, 12523]"
4419,[18252]
3010,[17006]
1381,"[12423, 12424, 12425, 12426]"
392,[13315]
2031,[]
4674,"[18372, 18373, 18374]"
2339,[15132]
2818,[]
3778,"[18674, 18675]"
4168,[]
3182,[]
3740,"[18507, 18508]"
3730,[]
1872,[14685]
4107,"[18278, 18279, 18280, 18281, 18282, 18283, 18284]"
488,[]
2796,[9971]
3278,"[12542, 12543]"
2195,[15198]
3884,[18365]
3316,[9139]
4576,[18010]
4257,[18375]
796,[14106]
1028,[15675]
3950,"[18124, 18125]"
1034,[]
3344,[12650]
4945,[12458]
3586,[18043]
1079,[9522]
4359,[]
1328,"[12322, 12323]"
4028,[]
4523,[]
2490,[14331]
2779,"[16983, 16984]"
72,[13431]
2000,"[15309, 15310, 15311]"
310,[9199]
1379,"[12416, 12417]"
3814,[]
2412,[]
4011,[]
4638,"[18395, 18396]"
504,[]
4198,[]
4942,[12486]
850,[]
3143,[8851]
259,[15563]
14,[9331]
2580,[16994]
1585,"[15314, 15315, 15316]"
985,[]
457,"[16098, 16099]"
956,"[15577, 15578]"
4043,"[18547, 18548]"
4113,[]
3120,"[8861, 8862]"
1908,[]
4780,[18080]
3978,[17977]
3668,[]
2311,[14935]
4720,[]
954,[15641]
1158,[]
934,"[15887, 15888]"
4099,[]
4350,[]
946,"[9494, 9495]"
2684,[13882]
4837,"[18655, 18656, 18657, 18658, 18659, 18660]"
557,[15412]
2734,"[16961, 16962]"
304,[]
2162,"[9468, 9469]"
1874,[14017]
1451,[9686]
1416,[]
483,[]
4996,[12987]
380,[13281]
1246,[]
3190,[]
2400,"[14267, 14268, 14269, 14270]"
176,[]
3516,"[12161, 12162]"
2438,"[15158, 15159, 15160, 15161]"
1499,"[9241, 9242]"
336,[]
1959,[14423]
4721,[]
3722,[]
1975,"[15296, 15297]"
339,[]
4700,[]
743,[14209]
1553,"[14002, 14003, 14004]"
975,[15596]
703,[14151]
3147,"[8854, 8855, 8856]"
1036,[15872]
755,"[14154, 14155]"
2447,"[14715, 14716, 14717]"
2151,[14582]
4763,[]
1819,[13979]
140,"[15514, 15515]"
3638,[10000]
1345,[9712]
297,[]
1827,[15350]
378,[13325]
1536,"[13953, 13954]"
3237,"[12588, 12589]"
4742,[]
872,[9411]
4224,[18210]
1523,"[14981, 14982]"
590,[15398]
1934,"[15076, 15077]"
1209,[13343]
1597,"[14937, 14938]"
3052,[17288]
3664,[]
2940,"[17066, 17067, 17068]"
2765,"[17297, 17298]"
4377,[]
2530,[]
3023,[16937]
476,[15980]
1082,[]
2556,[16902]
500,[9391]
2853,[9978]
996,[]
1903,"[15011, 15012]"
4250,"[15744, 15745]"
3448,[12714]
335,[]
584,"[9395, 9396]"
1068,[15890]
3631,"[18641, 18642, 18643]"
4248,[]
1965,[14601]
1664,"[15244, 15245]"
4193,[18098]
491,[]
2298,[14253]
4918,[12481]
1088,[]
4879,[]
4822,[15763]
1842,"[15227, 15228]"
2978,"[17173, 17174, 17175]"
2,[13416]
123,[15466]
2864,[9979]
2960,[16719]
862,"[15877, 15878]"
3425,[]
3487,[]
3473,[]
4550,[]
3817,[]
1094,[9406]
4259,[18055]
4614,[18358]
2742,"[16752, 16753, 16754]"
1923,[13948]
563,"[16035, 16036]"
3366,[]
4730,[]
1435,[]
4750,[]
2015,[]
3717,[]
3227,[]
3266,[12721]
4256,[18221]
2537,[]
1474,[]
3933,[18320]
1619,"[15376, 15377, 15378, 15379]"
1926,[14349]
328,[15566]
2361,"[14698, 14699, 14700]"
402,[13312]
2682,[]
3035,[17153]
470,[16083]
2696,[17323]
1084,[]
4008,"[18335, 18336, 18337]"
701,[14123]
2213,"[14425, 14426]"
4877,[]
4042,[18213]
2262,[]
2200,[]
2377,[15212]
1115,[]
2072,[]
3709,[]
449,[]
3533,"[12190, 12191]"
1917,"[15021, 15022]"
151,[9227]
4321,"[18398, 18399, 18400, 18401]"
1736,[14867]
4792,[]
3998,"[18081, 18082]"
3504,[12230]
4213,[]
1032,[]
888,[15631]
2819,[]
4029,[]
130,[15447]
2663,"[16709, 16710, 16711]"
588,[15385]
3286,[12634]
3029,[17225]
3436,[12591]
2188,"[15321, 15322, 15323]"
808,[]
4684,[]
99,[]
1518,"[14817, 14818]"
1038,[]
3677,[]
3794,[]
2101,[15204]
2813,[9958]
4865,[18177]
3669,[]
4096,[]
2283,[14645]
71,[13398]
4800,"[18719, 18720, 18721]"
1571,[15253]
1070,[]
1527,"[15183, 15184]"
2006,"[13974, 13975, 13976]"
2954,"[17183, 17184]"
2715,[17079]
3822,[]
2535,[]
2646,[16744]
970,[]
3238,[]
1136,[]
4667,[18194]
4704,[]
1611,[15083]
4565,"[18459, 18460]"
2972,[16866]
202,[]
2788,[16899]
2956,[13914]
4077,[10038]
2375,[15157]
2174,[14931]
3958,"[18344, 18345, 18346, 18347]"
4794,[18679]
1835,[14013]
2281,[14731]
438,[]
1472,[12302]
341,[]
4890,[12492]
4463,[]
2499,[]
3608,[18030]
4356,[]
2296,[15172]
2992,"[17232, 17233]"
3447,[12531]
2968,"[16871, 16872]"
4971,[]
3409,[12651]
3518,"[12163, 12164]"
3763,[]
4808,[18546]
417,[15395]
3768,[]
1005,[15604]
4541,"[18777, 18778]"
418,[15406]
2224,"[14678, 14679]"
2026,[]
1081,[]
3232,[]
1785,"[15264, 15265]"
3457,[]
594,[16117]
2840,[17316]
2929,"[17266, 17267, 17268, 17269]"
1530,[15147]
4119,[]
1828,"[14365, 14366]"
3150,[12672]
2156,[14409]
3566,[12219]
1274,[]
3944,"[18410, 18411, 18412]"
359,[13276]
3531,"[12208, 12209]"
2699,"[16959, 16960]"
3697,[17884]
784,[14175]
4775,[]
2286,"[15208, 15209, 15210, 15211]"
3751,[]
817,"[15882, 15883]"
1852,[14431]
2065,"[9258, 9259]"
2551,"[13894, 13895]"
753,"[14224, 14225]"
3359,"[12582, 12583, 12584, 12585]"
1751,[]
3455,[]
1278,[9688]
1682,[]
4211,[]
4815,[10020]
24,[]
4220,[]
3559,[12135]
959,[]
2746,[9959]
1723,[]
4474,[17969]
3635,[10026]
427,[15403]
2656,[17047]
2652,[]
2050,[]
4155,[]
2669,[17214]
272,[15568]
609,[15933]
1925,[14015]
3253,"[12621, 12622]"
1566,[14977]
1182,[13344]
3160,[12729]
4104,"[18716, 18717, 18718]"
4636,"[18435, 18436, 18437]"
4907,[12489]
3867,[]
2662,"[16762, 16763, 16764]"
4153,"[18728, 18729]"
4021,[]
2171,[]
4632,[18094]
4333,[]
1248,[]
4383,[]
3662,[]
1145,[9157]
159,[15450]
183,[]
2588,"[16890, 16891]"
1800,[14260]
3942,[18737]
3744,[15768]
4409,"[15764, 15765]"
2664,"[17209, 17210]"
551,[15415]
2561,"[17326, 17327]"
4682,[]
2127,[]
2933,"[16952, 16953, 16954]"
