,,Share Proportion,Standard Deviation,Variance
8351,photo_album_67,70.0,,
8351,photo_album_80,80.0,,
8352,photo_album_17,60.0,18.257418583505537,333.3333333333333
8352,photo_album_42,90.0,,
8352,photo_album_49,80.0,,
8352,photo_album_55,50.0,,
8353,photo_album_17,90.0,17.07825127659933,291.6666666666667
8353,photo_album_42,100.0,,
8353,photo_album_49,80.0,,
8353,photo_album_80,60.0,,
84,photo_album_8,40.0,14.142135623730951,200.0
84,photo_album_85,60.0,,
841,photo_album_48,30.0,7.0710678118654755,50.0
841,photo_album_50,40.0,,
8566,photo_album_23,30.0,21.213203435596427,450.0
8566,photo_album_69,0.0,,
8619,photo_album_23,70.0,35.35533905932738,1250.0
8619,photo_album_68,20.0,,
9239,photo_album_23,70.0,0.0,0.0
9239,photo_album_73,70.0,,
93,photo_album_8,70.0,21.213203435596427,450.0
93,photo_album_85,40.0,,
9386,photo_album_68,0.0,0.0,0.0
9386,photo_album_73,0.0,,
94,photo_album_57,10.0,34.64101615137755,1200.0
94,photo_album_8,70.0,,
94,photo_album_85,70.0,,
95,photo_album_57,50.0,7.0710678118654755,50.0
95,photo_album_85,40.0,,
952,photo_album_56,10.0,0.0,0.0
952,photo_album_83,10.0,,
954,photo_album_56,20.0,7.0710678118654755,50.0
954,photo_album_83,10.0,,
96,photo_album_57,20.0,17.320508075688775,300.0
96,photo_album_8,50.0,,
96,photo_album_85,50.0,,
961,photo_album_56,0.0,0.0,0.0
961,photo_album_83,0.0,,
963,photo_album_56,30.0,28.284271247461902,800.0
963,photo_album_83,70.0,,
965,photo_album_56,20.0,0.0,0.0
965,photo_album_83,20.0,,
966,photo_album_56,50.0,7.0710678118654755,50.0
966,photo_album_83,40.0,,
968,photo_album_56,20.0,35.35533905932738,1250.0
968,photo_album_83,70.0,,
973,photo_album_56,0.0,14.142135623730951,200.0
973,photo_album_83,20.0,,
974,photo_album_56,10.0,14.142135623730951,200.0
974,photo_album_83,30.0,,
