AID,GID,Album,Shared,Not Shared,Proportion,AGE,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
15674,889,photo_album_48,9,1,90,adult,1,IBEIS_PZ_1376,1649,ok,UNKNOWN SEX,zebra_plains,left
15597,877,photo_album_50,9,1,90,adult,0,IBEIS_PZ_1385,1658,good,Female,zebra_plains,right
9230,223,photo_album_97,9,1,90,infant,0,____,-9230,good,UNKNOWN NAME,giraffe_masai,left
15832,1899,photo_album_76,9,1,90,infant,1,IBEIS_PZ_0410,683,good,Female,zebra_plains,left
15833,1899,photo_album_76,9,1,90,adult,0,IBEIS_PZ_1293,1566,ok,Female,zebra_plains,backleft
16419,7410,photo_album_87,9,1,90,adult,0,IBEIS_PZ_1275,1548,good,Male,zebra_plains,left
16420,7410,photo_album_87,9,1,90,infant,0,____,-16420,ok,UNKNOWN NAME,zebra_plains,right
13599,7301,photo_album_31,9,1,90,adult,1,IBEIS_PZ_1541,1814,ok,Female,zebra_plains,left
9467,912,photo_album_48,9,1,90,adult,0,NNP_GIRM_0143,234,good,Female,giraffe_masai,frontleft
9246,7749,photo_album_71,9,1,90,infant,0,____,-9246,poor,UNKNOWN NAME,giraffe_masai,right
9133,3293,photo_album_13,9,1,90,infant,0,____,-9133,poor,UNKNOWN NAME,giraffe_masai,left
10811,8194,photo_album_100,9,1,90,adult,0,IBEIS_PZ_0098,371,ok,Male,zebra_plains,frontright
8867,8325,photo_album_80,9,1,90,infant,0,NNP_GIRM_0048,64,poor,UNKNOWN SEX,giraffe_masai,left
9415,1099,photo_album_29,9,1,90,infant,0,____,-9415,poor,UNKNOWN NAME,giraffe_masai,frontright
9108,8353,photo_album_17,9,1,90,adult,1,NNP_GIRM_0089,115,ok,Female,giraffe_masai,left
12701,3398,photo_album_84,9,1,90,"juvenille, two year old",1,IBEIS_PZ_0883,1156,good,Male,zebra_plains,left
12654,3434,photo_album_92,9,1,90,infant,0,IBEIS_PZ_0897,1170,ok,UNKNOWN SEX,zebra_plains,backleft
10771,8167,photo_album_30,9,1,90,adult,0,IBEIS_PZ_0099,372,ok,Female,zebra_plains,right
13236,7776,photo_album_27,9,1,90,infant,0,IBEIS_PZ_1091,1364,good,UNKNOWN SEX,zebra_plains,right
13237,7776,photo_album_27,9,1,90,infant,0,IBEIS_PZ_1093,1366,ok,UNKNOWN SEX,zebra_plains,right
9341,516,photo_album_72,9,1,90,infant,0,____,-9341,junk,UNKNOWN NAME,giraffe_masai,right
13804,6197,photo_album_94,9,1,90,infant,1,IBEIS_PZ_0448,721,ok,Female,zebra_plains,left
9418,927,photo_album_50,9,1,90,infant,0,____,-9418,ok,UNKNOWN NAME,giraffe_masai,frontright
