GID,Shared,Not Shared,Total,Proportion
8174,5,4,9,55.55555555555556
1561,5,4,9,55.55555555555556
1572,5,4,9,55.55555555555556
8121,5,4,9,55.55555555555556
1672,5,4,9,55.55555555555556
8473,5,4,9,55.55555555555556
9007,5,4,9,55.55555555555556
575,5,4,9,55.55555555555556
1786,5,4,9,55.55555555555556
8015,5,4,9,55.55555555555556
8317,16,13,29,55.172413793103445
5500,11,9,20,55.0
376,11,9,20,55.0
4899,11,9,20,55.0
564,11,9,20,55.0
3117,11,9,20,55.0
93,11,9,20,55.0
7796,11,9,20,55.0
4924,11,9,20,55.0
8334,21,18,39,53.84615384615385
5014,16,14,30,53.333333333333336
5677,16,14,30,53.333333333333336
8350,26,24,50,52.0
8337,31,29,60,51.666666666666664
767,5,5,10,50.0
916,5,5,10,50.0
5259,5,5,10,50.0
7943,5,5,10,50.0
9052,5,5,10,50.0
7929,5,5,10,50.0
7924,5,5,10,50.0
7650,5,5,10,50.0
53,5,5,10,50.0
8228,5,5,10,50.0
8189,5,5,10,50.0
9181,5,5,10,50.0
5189,5,5,10,50.0
984,10,10,20,50.0
735,5,5,10,50.0
976,5,5,10,50.0
5140,5,5,10,50.0
963,10,10,20,50.0
94,15,15,30,50.0
518,5,5,10,50.0
9384,4,4,8,50.0
7775,5,5,10,50.0
519,5,5,10,50.0
7922,5,5,10,50.0
9380,5,5,10,50.0
782,5,5,10,50.0
9368,5,5,10,50.0
729,5,5,10,50.0
7858,5,5,10,50.0
8276,5,5,10,50.0
5349,5,5,10,50.0
601,5,5,10,50.0
6174,5,5,10,50.0
7895,5,5,10,50.0
6918,5,5,10,50.0
7049,5,5,10,50.0
7037,5,5,10,50.0
807,5,5,10,50.0
5657,15,15,30,50.0
5665,5,5,10,50.0
8096,5,5,10,50.0
8107,5,5,10,50.0
8113,5,5,10,50.0
576,5,5,10,50.0
812,5,5,10,50.0
8135,5,5,10,50.0
776,5,5,10,50.0
8625,5,5,10,50.0
7378,5,5,10,50.0
8141,5,5,10,50.0
8359,5,5,10,50.0
7426,4,4,8,50.0
570,5,5,10,50.0
84,10,10,20,50.0
6560,5,5,10,50.0
7773,10,10,20,50.0
5711,5,5,10,50.0
8444,5,5,10,50.0
5644,5,5,10,50.0
7461,5,5,10,50.0
610,5,5,10,50.0
687,5,5,10,50.0
5373,5,5,10,50.0
8925,5,5,10,50.0
6970,5,5,10,50.0
6932,5,5,10,50.0
